MODEL.01
Model after    58 iterations
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
      H(KM)   VP(KM/S)   VS(KM/S) RHO(GM/CC)     QP         QS       ETAP       ETAS      FREFP      FREFS    
     0.0010     0.1243     0.0722     1.3869   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.1704     0.0984     1.4945   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.2034     0.1173     1.5553   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.1954     0.1131     1.5427   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.1673     0.0965     1.4876   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.1808     0.1046     1.5157   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.2177     0.1256     1.5791   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.2328     0.1346     1.6032   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.2312     0.1338     1.6011   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.2459     0.1421     1.6222   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0010     0.3109     0.1796     1.7035   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0000     0.4110     0.2374     1.8004   0.00       0.00       0.00       0.00       1.00       1.00    
