MODEL.01
Model after    58 iterations
ISOTROPIC
KGS
FLAT EARTH
1-D
CONSTANT VELOCITY
LINE08
LINE09
LINE10
LINE11
      H(KM)   VP(KM/S)   VS(KM/S) RHO(GM/CC)     QP         QS       ETAP       ETAS      FREFP      FREFS    
     0.0020     1.3702     0.2232     1.5478   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.3840     0.2310     1.5575   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.3945     0.2370     1.5647   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.3901     0.2345     1.5617   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.3775     0.2274     1.5530   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.3735     0.2250     1.5501   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.4028     0.2417     1.5704   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.4731     0.2827     1.6176   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.5776     0.3459     1.6836   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.7040     0.4261     1.7572   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.8410     0.5181     1.8297   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     1.9786     0.6161     1.8957   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.1120     0.7166     1.9537   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.2379     0.8161     2.0034   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.3533     0.9113     2.0450   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.4601     1.0023     2.0806   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.5546     1.0849     2.1098   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.6405     1.1614     2.1347   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.7151     1.2285     2.1551   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.7801     1.2874     2.1720   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.8365     1.3387     2.1860   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.8832     1.3812     2.1973   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9211     1.4157     2.2061   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9512     1.4431     2.2130   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9735     1.4634     2.2180   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9883     1.4768     2.2213   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9966     1.4844     2.2231   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9994     1.4869     2.2237   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9959     1.4837     2.2230   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9867     1.4753     2.2209   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9742     1.4640     2.2182   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9577     1.4490     2.2145   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9368     1.4300     2.2097   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.9123     1.4077     2.2041   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.8846     1.3825     2.1976   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.8559     1.3564     2.1908   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.8245     1.3278     2.1831   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.7905     1.2969     2.1746   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.7542     1.2639     2.1654   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.7161     1.2294     2.1554   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.6766     1.1938     2.1447   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.6357     1.1570     2.1333   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.5933     1.1192     2.1212   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.5495     1.0804     2.1083   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.5042     1.0407     2.0945   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0020     2.4580     1.0005     2.0799   0.00       0.00       0.00       0.00       1.00       1.00    
     0.0000     2.4101     0.9594     2.0643   0.00       0.00       0.00       0.00       1.00       1.00    
